"COU","Country","IND","Indicator","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1970-Q1","Q1-1970","1","RATIOS","0","Units",,,117.641151039972,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1970-Q2","Q2-1970","1","RATIOS","0","Units",,,115.932212776516,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1970-Q3","Q3-1970","1","RATIOS","0","Units",,,115.396203214938,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1970-Q4","Q4-1970","1","RATIOS","0","Units",,,116.547086732336,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1971-Q1","Q1-1971","1","RATIOS","0","Units",,,115.846962937066,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1971-Q2","Q2-1971","1","RATIOS","0","Units",,,116.391798420636,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1971-Q3","Q3-1971","1","RATIOS","0","Units",,,116.563176078352,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1971-Q4","Q4-1971","1","RATIOS","0","Units",,,118.212173156131,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1972-Q1","Q1-1972","1","RATIOS","0","Units",,,116.222722162851,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1972-Q2","Q2-1972","1","RATIOS","0","Units",,,117.836152054983,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1972-Q3","Q3-1972","1","RATIOS","0","Units",,,117.522518426934,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1972-Q4","Q4-1972","1","RATIOS","0","Units",,,115.316219499758,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1973-Q1","Q1-1973","1","RATIOS","0","Units",,,117.554306137084,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1973-Q2","Q2-1973","1","RATIOS","0","Units",,,117.241491068928,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1973-Q3","Q3-1973","1","RATIOS","0","Units",,,118.285498846543,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1973-Q4","Q4-1973","1","RATIOS","0","Units",,,117.871074856763,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1974-Q1","Q1-1974","1","RATIOS","0","Units",,,118.776802882188,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1974-Q2","Q2-1974","1","RATIOS","0","Units",,,118.847951590431,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1974-Q3","Q3-1974","1","RATIOS","0","Units",,,119.493208761542,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1974-Q4","Q4-1974","1","RATIOS","0","Units",,,118.138861762372,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1975-Q1","Q1-1975","1","RATIOS","0","Units",,,118.854482155953,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1975-Q2","Q2-1975","1","RATIOS","0","Units",,,113.93056534625,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1975-Q3","Q3-1975","1","RATIOS","0","Units",,,113.543113737966,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1975-Q4","Q4-1975","1","RATIOS","0","Units",,,113.252174638976,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1976-Q1","Q1-1976","1","RATIOS","0","Units",,,112.243410723618,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1976-Q2","Q2-1976","1","RATIOS","0","Units",,,113.741265841117,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1976-Q3","Q3-1976","1","RATIOS","0","Units",,,113.130505313604,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1976-Q4","Q4-1976","1","RATIOS","0","Units",,,113.249684358641,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1977-Q1","Q1-1977","1","RATIOS","0","Units",,,113.90204620192,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1977-Q2","Q2-1977","1","RATIOS","0","Units",,,115.146683388804,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1977-Q3","Q3-1977","1","RATIOS","0","Units",,,115.664669453343,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1977-Q4","Q4-1977","1","RATIOS","0","Units",,,116.262064887492,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1978-Q1","Q1-1978","1","RATIOS","0","Units",,,116.879585057045,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1978-Q2","Q2-1978","1","RATIOS","0","Units",,,117.139347564358,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1978-Q3","Q3-1978","1","RATIOS","0","Units",,,118.604457128303,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1978-Q4","Q4-1978","1","RATIOS","0","Units",,,119.651848165432,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1979-Q1","Q1-1979","1","RATIOS","0","Units",,,120.97176680865,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1979-Q2","Q2-1979","1","RATIOS","0","Units",,,122.187651725117,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1979-Q3","Q3-1979","1","RATIOS","0","Units",,,122.110609216809,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1979-Q4","Q4-1979","1","RATIOS","0","Units",,,122.137765061564,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1980-Q1","Q1-1980","1","RATIOS","0","Units",,,120.465638313901,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1980-Q2","Q2-1980","1","RATIOS","0","Units",,,119.587540305138,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1980-Q3","Q3-1980","1","RATIOS","0","Units",,,120.317239177038,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1980-Q4","Q4-1980","1","RATIOS","0","Units",,,116.863871142597,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1981-Q1","Q1-1981","1","RATIOS","0","Units",,,115.082294535198,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1981-Q2","Q2-1981","1","RATIOS","0","Units",,,115.177274917419,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1981-Q3","Q3-1981","1","RATIOS","0","Units",,,112.928620924983,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1981-Q4","Q4-1981","1","RATIOS","0","Units",,,111.978524008006,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1982-Q1","Q1-1982","1","RATIOS","0","Units",,,111.766474734662,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1982-Q2","Q2-1982","1","RATIOS","0","Units",,,110.505874464643,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1982-Q3","Q3-1982","1","RATIOS","0","Units",,,108.249306846727,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1982-Q4","Q4-1982","1","RATIOS","0","Units",,,108.266403708527,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1983-Q1","Q1-1983","1","RATIOS","0","Units",,,108.218235629388,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1983-Q2","Q2-1983","1","RATIOS","0","Units",,,107.795628318197,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1983-Q3","Q3-1983","1","RATIOS","0","Units",,,106.008068281608,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1983-Q4","Q4-1983","1","RATIOS","0","Units",,,103.977399344681,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1984-Q1","Q1-1984","1","RATIOS","0","Units",,,102.373607284915,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1984-Q2","Q2-1984","1","RATIOS","0","Units",,,101.460992683055,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1984-Q3","Q3-1984","1","RATIOS","0","Units",,,100.716304842152,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1984-Q4","Q4-1984","1","RATIOS","0","Units",,,100.905250206164,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1985-Q1","Q1-1985","1","RATIOS","0","Units",,,101.439950278232,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1985-Q2","Q2-1985","1","RATIOS","0","Units",,,100.449029768095,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1985-Q3","Q3-1985","1","RATIOS","0","Units",,,102.220086885572,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1985-Q4","Q4-1985","1","RATIOS","0","Units",,,102.45828849044,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1986-Q1","Q1-1986","1","RATIOS","0","Units",,,102.347018383877,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1986-Q2","Q2-1986","1","RATIOS","0","Units",,,103.530321645849,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1986-Q3","Q3-1986","1","RATIOS","0","Units",,,104.585675003583,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1986-Q4","Q4-1986","1","RATIOS","0","Units",,,106.318336046727,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1987-Q1","Q1-1987","1","RATIOS","0","Units",,,106.682014123057,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1987-Q2","Q2-1987","1","RATIOS","0","Units",,,108.904955536123,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1987-Q3","Q3-1987","1","RATIOS","0","Units",,,107.917918024296,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1987-Q4","Q4-1987","1","RATIOS","0","Units",,,107.078361476652,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1988-Q1","Q1-1988","1","RATIOS","0","Units",,,106.677082606011,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1988-Q2","Q2-1988","1","RATIOS","0","Units",,,106.885352152367,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1988-Q3","Q3-1988","1","RATIOS","0","Units",,,105.817682077092,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1988-Q4","Q4-1988","1","RATIOS","0","Units",,,105.420082769761,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1989-Q1","Q1-1989","1","RATIOS","0","Units",,,104.562138731338,,
"USA","United States","HPI_YDH_AVG","Standardised price-income ratio","1989-Q2","Q2-1989","1","RATIOS","0","Units",,,105.0483322199,,
