"LOCATION","Country","VARIABLE","Variable","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1970-Q1","Q1-1970","PC","Percentage","0","Units",,,7.03666666666667,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1970-Q2","Q2-1970","PC","Percentage","0","Units",,,7.04666666666667,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1970-Q3","Q3-1970","PC","Percentage","0","Units",,,7.04666666666667,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1970-Q4","Q4-1970","PC","Percentage","0","Units",,,7.04666666666667,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1971-Q1","Q1-1971","PC","Percentage","0","Units",,,7.04666666666667,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1971-Q2","Q2-1971","PC","Percentage","0","Units",,,7.04666666666667,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1971-Q3","Q3-1971","PC","Percentage","0","Units",,,7.04666666666667,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1971-Q4","Q4-1971","PC","Percentage","0","Units",,,7.07,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1972-Q1","Q1-1972","PC","Percentage","0","Units",,,7.08333333333333,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1972-Q2","Q2-1972","PC","Percentage","0","Units",,,7.01333333333333,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1972-Q3","Q3-1972","PC","Percentage","0","Units",,,6.71333333333333,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1972-Q4","Q4-1972","PC","Percentage","0","Units",,,6.72333333333333,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1973-Q1","Q1-1973","PC","Percentage","0","Units",,,6.77333333333333,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1973-Q2","Q2-1973","PC","Percentage","0","Units",,,7.04333333333333,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1973-Q3","Q3-1973","PC","Percentage","0","Units",,,7.21666666666667,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1973-Q4","Q4-1973","PC","Percentage","0","Units",,,7.51333333333333,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1974-Q1","Q1-1974","PC","Percentage","0","Units",,,8.03,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1974-Q2","Q2-1974","PC","Percentage","0","Units",,,8.05,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1974-Q3","Q3-1974","PC","Percentage","0","Units",,,8.24666666666667,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1974-Q4","Q4-1974","PC","Percentage","0","Units",,,8.42333333333333,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1975-Q1","Q1-1975","PC","Percentage","0","Units",,,8.43333333333333,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1975-Q2","Q2-1975","PC","Percentage","0","Units",,,8.43666666666667,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1975-Q3","Q3-1975","PC","Percentage","0","Units",,,8.44333333333333,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1975-Q4","Q4-1975","PC","Percentage","0","Units",,,8.53666666666667,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1976-Q1","Q1-1976","PC","Percentage","0","Units",,,8.57,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1976-Q2","Q2-1976","PC","Percentage","0","Units",,,8.57333333333333,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1976-Q3","Q3-1976","PC","Percentage","0","Units",,,8.59,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1976-Q4","Q4-1976","PC","Percentage","0","Units",,,8.61,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1977-Q1","Q1-1977","PC","Percentage","0","Units",,,8.58,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1977-Q2","Q2-1977","PC","Percentage","0","Units",,,7.64666666666667,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1977-Q3","Q3-1977","PC","Percentage","0","Units",,,6.95333333333333,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1977-Q4","Q4-1977","PC","Percentage","0","Units",,,6.68333333333333,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1978-Q1","Q1-1978","PC","Percentage","0","Units",,,6.38333333333333,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1978-Q2","Q2-1978","PC","Percentage","0","Units",,,6.21,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1978-Q3","Q3-1978","PC","Percentage","0","Units",,,6.52333333333333,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1978-Q4","Q4-1978","PC","Percentage","0","Units",,,6.36,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1979-Q1","Q1-1979","PC","Percentage","0","Units",,,7.14666666666667,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1979-Q2","Q2-1979","PC","Percentage","0","Units",,,8.53,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1979-Q3","Q3-1979","PC","Percentage","0","Units",,,8.55333333333333,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1979-Q4","Q4-1979","PC","Percentage","0","Units",,,9.1,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1980-Q1","Q1-1980","PC","Percentage","0","Units",,,9.28666666666667,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1980-Q2","Q2-1980","PC","Percentage","0","Units",,,8.92,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1980-Q3","Q3-1980","PC","Percentage","0","Units",,,8.57666666666667,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1980-Q4","Q4-1980","PC","Percentage","0","Units",,,8.7,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1981-Q1","Q1-1981","PC","Percentage","0","Units",,,8.08333333333333,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1981-Q2","Q2-1981","PC","Percentage","0","Units",,,8.15666666666667,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1981-Q3","Q3-1981","PC","Percentage","0","Units",,,8.82,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1981-Q4","Q4-1981","PC","Percentage","0","Units",,,8.44666666666667,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1982-Q1","Q1-1982","PC","Percentage","0","Units",,,7.95333333333333,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1982-Q2","Q2-1982","PC","Percentage","0","Units",,,8.25333333333333,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1982-Q3","Q3-1982","PC","Percentage","0","Units",,,8.64666666666667,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1982-Q4","Q4-1982","PC","Percentage","0","Units",,,8.46897484158354,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1983-Q1","Q1-1983","PC","Percentage","0","Units",,,7.95542477570738,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1983-Q2","Q2-1983","PC","Percentage","0","Units",,,7.88796536796537,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1983-Q3","Q3-1983","PC","Percentage","0","Units",,,7.87412667043102,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1983-Q4","Q4-1983","PC","Percentage","0","Units",,,7.59293650793651,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1984-Q1","Q1-1984","PC","Percentage","0","Units",,,7.38505050505051,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1984-Q2","Q2-1984","PC","Percentage","0","Units",,,7.33858523119393,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1984-Q3","Q3-1984","PC","Percentage","0","Units",,,7.3744209486166,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1984-Q4","Q4-1984","PC","Percentage","0","Units",,,6.89029330572809,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1985-Q1","Q1-1985","PC","Percentage","0","Units",,,6.76042753623188,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1985-Q2","Q2-1985","PC","Percentage","0","Units",,,6.72513833992095,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1985-Q3","Q3-1985","PC","Percentage","0","Units",,,6.29844155844156,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1985-Q4","Q4-1985","PC","Percentage","0","Units",,,6.26404981491938,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1986-Q1","Q1-1986","PC","Percentage","0","Units",,,5.64244582470669,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1986-Q2","Q2-1986","PC","Percentage","0","Units",,,4.97198715728716,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1986-Q3","Q3-1986","PC","Percentage","0","Units",,,5.22996130560261,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1986-Q4","Q4-1986","PC","Percentage","0","Units",,,5.55114594202899,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1987-Q1","Q1-1987","PC","Percentage","0","Units",,,4.9107306060606,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1987-Q2","Q2-1987","PC","Percentage","0","Units",,,3.4787031024531,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1987-Q3","Q3-1987","PC","Percentage","0","Units",,,4.94036831043353,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1987-Q4","Q4-1987","PC","Percentage","0","Units",,,5.23118263379133,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1988-Q1","Q1-1988","PC","Percentage","0","Units",,,4.49703243616287,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1988-Q2","Q2-1988","PC","Percentage","0","Units",,,4.67911976911977,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1988-Q3","Q3-1988","PC","Percentage","0","Units",,,5.15976064997804,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1988-Q4","Q4-1988","PC","Percentage","0","Units",,,4.74998556998557,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1989-Q1","Q1-1989","PC","Percentage","0","Units",,,4.90557898550725,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1989-Q2","Q2-1989","PC","Percentage","0","Units",,,5.2462860342556,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1989-Q3","Q3-1989","PC","Percentage","0","Units",,,5.10402553485162,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1989-Q4","Q4-1989","PC","Percentage","0","Units",,,5.37003607503607,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1990-Q1","Q1-1990","PC","Percentage","0","Units",,,6.43398083003952,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1990-Q2","Q2-1990","PC","Percentage","0","Units",,,6.74656521739131,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1990-Q3","Q3-1990","PC","Percentage","0","Units",,,7.32860731225296,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1990-Q4","Q4-1990","PC","Percentage","0","Units",,,7.085029393312,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1991-Q1","Q1-1991","PC","Percentage","0","Units",,,6.50187946859903,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1991-Q2","Q2-1991","PC","Percentage","0","Units",,,6.69728682476943,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1991-Q3","Q3-1991","PC","Percentage","0","Units",,,6.45692841458059,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1991-Q4","Q4-1991","PC","Percentage","0","Units",,,5.93411478135391,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1992-Q1","Q1-1992","PC","Percentage","0","Units",,,5.49550849802371,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1992-Q2","Q2-1992","PC","Percentage","0","Units",,,5.62938816738817,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1992-Q3","Q3-1992","PC","Percentage","0","Units",,,5.07545758830541,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1992-Q4","Q4-1992","PC","Percentage","0","Units",,,4.78432025221156,,
"JPN","Japan","IRL","Long-term interest rate on government bonds","Q","Quarterly","1993-Q1","Q1-1993","PC","Percentage","0","Units",,,4.34786366459627,,
